Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
Dragon Ball Ultimate Edition 10,2022-05-28,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Chainsaw Man 09,2022-05-26,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,0.68,Owned,,
Chainsaw Man 10,2022-05-26,"Fujimoto, Tatsuki",El Corte Inglés,Physical,Myself,8.55,Owned,,
El Color Púrpura,2022-05-22,"Walker, Alice",Mercadillo,Physical,Dad,1.00,Owned,,
Matar a un Ruiseñor,2022-05-22,"Lee, Harper",Mercadillo,Physical,Dad,1.00,Owned,,
Dragon Ball Ultimate Edition 09,2022-05-21,"Toriyama, Akira",Librería Proteo,Physical,Dad,8.95,Sold,,
Puño de la Estrella del Norte 03,2022-05-20,Buronson,fnac,Physical,Dad,12.30,Sold,,
The Legend of Zelda: Twilight Princess 09,2022-05-20,"Himekawa, Akira",fnac,Physical,Myself,6.30,Owned,,
Dragon Ball Ultimate Edition 08,2022-05-14,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Puño de la Estrella del Norte 01,2022-05-04,Buronson,Wallapop,Physical,Mom,7.50,Sold,,
Puño de la Estrella del Norte 02,2022-05-04,Buronson,Wallapop,Physical,Mom,7.50,Owned,,
Dragon Ball Ultimate Edition 12,2022-04-30,"Toriyama, Akira",fnac,Physical,Myself,8.50,Sold,,
Puño de la Estrella del Norte (Promo),2022-04-30,Buronson,fnac,Physical,Myself,2.80,Sold,,
Solanin,2022-04-30,"Asano, Inio",Comic Stores,Physical,Dad,14.60,Owned,,
El Libro de los Portales,2022-04-11,"Gallego, Laura",Wallapop,Physical,Myself,4.50,Owned,,
Chainsaw Man 06,2022-04-09,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Chainsaw Man 07,2022-04-09,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Chainsaw Man 08,2022-04-09,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Look Back,2022-04-09,"Fujimoto, Tatsuki",fnac,Physical,Myself,7.60,Owned,,
El Señor de los Anillos (Círculo Lectores),2022-04-03,"Tolkien, J.R.R.",Wallapop,Physical,Wallet,14.53,Sold,,
Chainsaw Man 05,2022-04-02,"Fujimoto, Tatsuki",El Corte Inglés,Physical,Mom,9.00,Owned,,
Por Si Las Voces Vuelven,2022-04-02,"Martín, Ángel ",Librería Dorian,Physical,Myself,17.90,Owned,,
The Handmaid’s Tale,2022-04-02,"Atwood, Margaret",Librería Dorian,Physical,Myself,9.90,Sold,,
De profundis y otros escritos,2022-03-30,"Wilde, Oscar",Mercadillo,Physical,Myself,1.00,Owned,,
Chainsaw Man 03,2022-03-18,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Chainsaw Man 04,2022-03-18,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Dragon Ball Ultimate Edition 07,2022-03-18,"Toriyama, Akira",fnac,Physical,Dad,8.50,Sold,,
Pokémon 01,2022-03-06,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Pokémon 02,2022-03-06,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Pokémon 03,2022-03-06,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Pokémon 04,2022-03-06,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Chainsaw Man 02,2022-02-26,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Chainsaw Man 11 + Cofre,2022-02-26,"Fujimoto, Tatsuki",El Corte Inglés,Physical,Myself,9.00,Owned,,
Chainsaw Man 01,2022-02-19,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Héroes,2022-02-19,"Asano, Inio",Librería Dorian,Physical,Myself,9.95,Owned,,
Así Habló Kishibe Rohan 1,2022-02-11,"Araki, Hirohiko",fnac,Physical,Dad,8.50,Owned,,
Así Habló Kishibe Rohan 2,2022-02-11,"Araki, Hirohiko",fnac,Physical,Dad,8.50,Owned,,
"Buenas Noches, Punpun 01",2022-02-11,"Asano, Inio",fnac,Physical,Dad,8.08,Sold,,
Fullmetal Alchemist (Kanzenban) 01,2022-02-11,Hiromu Arakawa,fnac,Physical,Dad,11.35,Sold,,
Dragon Ball Ultimate Edition 06,2022-02-05,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Good Omens,2022-02-05,"Pratchett, Terry",Librería Dorian,Physical,Myself,8.95,Owned,,
Adventures of Huckleberry Finn (Illustrated),2022-02-01,"Twain, Mark",Amazon,Digital,Myself,0.00,Owned,,
"The Dragon Blood Collection, Books 1-3",2022-02-01,"Buroker, Lindsay",Amazon,Digital,Myself,0.00,Owned,,
Anime Mind 1,2022-01-23,"Cuaresma, Eric",Mercadillo,Physical,Dad,1.00,Owned,,
Anime Mind 2,2022-01-23,"Cuaresma, Eric",Mercadillo,Physical,Dad,1.00,Owned,,
Así Habló Zaratustra,2022-01-23,"Nietzsche, Friedrich",Mercadillo,Physical,Myself,1.00,Sold,,
El Gran Gatsby,2022-01-04,"Scott Fitzgerlad, F.",Málaga Factory,Physical,Myself,4.00,Owned,,
Eldest,2022-01-02,"Paolini, Christopher ",Mercadillo,Physical,Myself,1.50,Sold,,
Eragorn,2022-01-02,"Paolini, Christopher ",Mercadillo,Physical,Myself,1.50,Sold,,
My Hero Academia 28,2021-12-30,"Horikoshi, Kohei",El Corte Inglés,Physical,Myself,6.95,Sold,,
My Hero Academia 27,2021-12-28,"Horikoshi, Kohei",fnac,Physical,Myself,6.60,Sold,,
"Yo, Robot",2021-12-28,"Asimov, Isaac",fnac,Physical,Myself,9.45,Sold,,
El Corazón de las Tinieblas,2021-12-26,"Conrad, Joseph",Mercadillo,Physical,Myself,1.00,Owned,,
El Hobbit (Círculo Lectores),2021-12-26,"Tolkien, J.R.R.",Mercadillo,Physical,Myself,1.50,Sold,2023-05-19,
Moby Dick,2021-12-26,"Melville, Herman",Mercadillo,Physical,Myself,1.00,Owned,,
The Legend of Zelda: Twilight Princess 03,2021-12-26,"Himekawa, Akira",GAME,Physical,Myself,8.00,Owned,,
Paradise Lost,2021-12-22,"Milton, John",Amazon,Digital,Myself,0.00,Owned,,
Dune,2021-12-10,"Herbert, Frank",Librería Dorian,Physical,Myself,11.95,Sold,,
Trilogía de la Fundación,2021-12-10,"Asimov, Isaac",Librería Dorian,Physical,Myself,14.96,Sold,,
El Fin de la Eternidad,2021-12-08,"Asimov, Isaac",Librería Dorian,Physical,Myself,9.95,Sold,,
"Baoh, el Visitante",2021-11-09,"Araki, Hirohiko",Librería Dorian,Physical,Myself,12.00,Owned,,
Vampiras,2021-11-09,...Varios,Librería Dorian,Physical,Myself,16.30,Sold,,
Berserk (Maximum) 01,2021-10-30,"Miura, Kentaro",fnac,Physical,Myself,14.25,Sold,,
Berserk (Maximum) 02,2021-10-30,"Miura, Kentaro",El Corte Inglés,Physical,Gift,15.00,Sold,,
Fahrenheit 451,2021-10-30,Ray Bradbury,fnac,Physical,Myself,10.40,Owned,,
JoJo Part 1 Phantom Blood 2,2021-10-30,"Araki, Hirohiko",fnac,Physical,Myself,11.40,Sold,2022-02-21,
JoJo Part 1 Phantom Blood 3,2021-10-30,"Araki, Hirohiko",fnac,Physical,Myself,11.40,Sold,2022-02-21,
JoJo Part 4 Diamond is Unbreakable 12 ,2021-10-01,"Araki, Hirohiko",Comic Stores,Physical,Myself,12.00,Sold,2022-03-29,
JoJo Part 5 Golden Wind 10,2021-10-01,"Araki, Hirohiko",Comic Stores,Physical,Myself,12.00,Sold,2022-03-29,
My Hero Academia 08,2021-10-01,"Horikoshi, Kohei",Comic Stores,Physical,Myself,6.60,Sold,,
My Hero Academia 09,2021-10-01,"Horikoshi, Kohei",Comic Stores,Physical,Myself,6.60,Sold,,
Dragon Ball Ultimate Edition 05,2021-09-10,"Toriyama, Akira",Librería Dorian,Physical,Gift,8.95,Sold,,Bought with money from birthday.
Mort,2021-09-10,"Pratchett, Terry",Librería Dorian,Physical,Gift,8.00,Owned,,Bought with money from birthday.
My Hero Academia 20 + Tarjetera,2021-09-10,"Horikoshi, Kohei",Librería Dorian,Physical,Gift,6.95,Owned,2025-12-21,Bought with money from birthday.
Shadow and Bone,2021-09-08,"Bardugo, Leigh",fnac (Portugal),Physical,Myself,11.00,Owned,,
Dragon Ball Ultimate Edition 04,2021-08-18,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
JoJo Part 1 Phantom Blood 1,2021-08-18,"Araki, Hirohiko",fnac,Physical,Myself,12.00,Sold,2022-02-21,
My Hero Academia 12,2021-08-18,"Horikoshi, Kohei",fnac,Physical,Myself,6.95,Sold,,
Rebelión en la Granja,2021-08-18,"Orwell, George",fnac,Physical,Myself,9.95,Owned,,
My Hero Academia 10,2021-07-17,"Horikoshi, Kohei",fnac,Physical,Dad,6.60,Sold,,
My Hero Academia 11,2021-07-17,"Horikoshi, Kohei",fnac,Physical,Dad,6.60,Sold,,
The Legend of Zelda: Twilight Princess 01,2021-07-17,"Himekawa, Akira",fnac,Physical,Dad,7.60,Owned,,
Uzumaki,2021-07-17,"Ito, Junji",fnac,Physical,Dad,23.75,Owned,,
Gryphoon 1,2021-06-19,"Montes, Luis",CómicOn Málaga,Physical,Myself,12.95,Owned,,
JoJo Part 6 Stone Ocean 07,2021-06-19,"Araki, Hirohiko",CómicOn Málaga,Physical,Myself,12.00,Sold,2022-03-29,
The Legend of Zelda: Twilight Princess 02,2021-06-19,"Himekawa, Akira",CómicOn Málaga,Physical,Myself,8.00,Owned,,
Dragon Ball Ultimate Edition 03,2021-05-29,"Toriyama, Akira",Librería Dorian,Physical,Mom,8.95,Sold,,
Dragon Ball Ultimate Edition (Promo),2021-04-24,"Toriyama, Akira",Librería Dorian,Physical,Myself,2.95,Sold,,
Dragon Ball Ultimate Edition 02,2021-04-24,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
The Black Veins,2021-01-12,"Monet, Ashia",Amazon,Digital,Myself,4.67,Owned,,
1984,2020-08-24,"Orwell, George",Amazon,Physical,Gift,8.50,Owned,,Birthday gift.
Console Wars,2020-08-24,"Harris, Blake J.",Amazon,Physical,Gift,20.85,Owned,,Birthday gift.
El Señor de los Anillos I (Booklet),2019-08-24,"Tolkien, J.R.R.",,Physical,Gift,10.95,Sold,,
The Legend of Zelda: Ocarina of Time,2018-09-21,"Himekawa, Akira",,Physical,Myself,15.00,Sold,2022-04-20,
My Hero Academia 05,2017-01-01,"Horikoshi, Kohei",fnac,Physical,Mom,6.95,Sold,2025-12-21,
My Hero Academia 06,2017-01-01,"Horikoshi, Kohei",,Physical,Myself,6.95,Sold,2025-12-21,
My Hero Academia 07,2017-01-01,"Horikoshi, Kohei",,Physical,Myself,6.95,Sold,2025-12-21,
Splatoon 1,2017-01-01,"Hinodeya, Sankichi",,Physical,Myself,8.00,Sold,2022-09-04,
The Legend of Zelda: Majora’s Mask,2017-01-01,"Himekawa, Akira",,Physical,Myself,15.00,Sold,2022-04-20,
My Hero Academia 01,2017-01-01,"Horikoshi, Kohei",fnac,Physical,Mom,2.95,Sold,2025-12-21,
My Hero Academia 02,2017-01-01,"Horikoshi, Kohei",Gamepolis,Physical,Myself,6.95,Sold,2025-12-21,
My Hero Academia 03,2017-01-01,"Horikoshi, Kohei",Gamepolis,Physical,Myself,6.95,Sold,2025-12-21,
My Hero Academia 04,2017-01-01,"Horikoshi, Kohei",fnac,Physical,Mom,6.95,Sold,2025-12-21,
