Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
Chainsaw Man 07,04-09-22,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Chainsaw Man 08,04-09-22,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Look Back,04-09-22,"Fujimoto, Tatsuki",fnac,Physical,Myself,7.60,Owned,,
El Señor de los Anillos (Círculo Lectores),04-03-22,"Tolkien, J.R.R.",Wallapop,Physical,Wallet,14.53,Sold,,
Chainsaw Man 05,04-02-22,"Fujimoto, Tatsuki",El Corte Inglés,Physical,Mom,9.00,Owned,,
Por Si Las Voces Vuelven,04-02-22,"Martín, Ángel ",Librería Dorian,Physical,Myself,17.90,Owned,,
The Handmaid’s Tale,04-02-22,"Atwood, Margaret",Librería Dorian,Physical,Myself,9.90,Sold,,
De profundis y otros escritos,03-30-22,"Wilde, Oscar",Mercadillo,Physical,Myself,1.00,Owned,,
Chainsaw Man 03,03-18-22,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Chainsaw Man 04,03-18-22,"Fujimoto, Tatsuki",fnac,Physical,Dad,8.55,Owned,,
Dragon Ball Ultimate Edition 07,03-18-22,"Toriyama, Akira",fnac,Physical,Dad,8.50,Sold,,
Pokémon 01,03-06-22,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Pokémon 02,03-06-22,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Pokémon 03,03-06-22,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Pokémon 04,03-06-22,"Kusaka, Hidenori",Wallapop,Physical,Wallet,1.36,Sold,,
Chainsaw Man 02,02-26-22,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Chainsaw Man 11 + Cofre,02-26-22,"Fujimoto, Tatsuki",El Corte Inglés,Physical,Myself,9.00,Owned,,
Chainsaw Man 01,02-19-22,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Héroes,02-19-22,"Asano, Inio",Librería Dorian,Physical,Myself,9.95,Owned,,
Así Habló Kishibe Rohan 1,02-11-22,"Araki, Hirohiko",fnac,Physical,Dad,8.50,Owned,,
Así Habló Kishibe Rohan 2,02-11-22,"Araki, Hirohiko",fnac,Physical,Dad,8.50,Owned,,
"Buenas Noches, Punpun 01",02-11-22,"Asano, Inio",fnac,Physical,Dad,8.08,Sold,,
Fullmetal Alchemist (Kanzenban) 01,02-11-22,Hiromu Arakawa,fnac,Physical,Dad,11.35,Sold,,
Dragon Ball Ultimate Edition 06,02-05-22,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
Good Omens,02-05-22,"Pratchett, Terry",Librería Dorian,Physical,Myself,8.95,Owned,,
Adventures of Huckleberry Finn (Illustrated),02-01-22,"Twain, Mark",Amazon,Digital,Myself,0.00,Owned,,
"The Dragon Blood Collection, Books 1-3",02-01-22,"Buroker, Lindsay",Amazon,Digital,Myself,0.00,Owned,,
Anime Mind 1,01-23-22,"Cuaresma, Eric",Mercadillo,Physical,Dad,1.00,Owned,,
Anime Mind 2,01-23-22,"Cuaresma, Eric",Mercadillo,Physical,Dad,1.00,Owned,,
Así Habló Zaratustra,01-23-22,"Nietzsche, Friedrich",Mercadillo,Physical,Myself,1.00,Sold,,
El Gran Gatsby,01-04-22,"Scott Fitzgerlad, F.",Málaga Factory,Physical,Myself,4.00,Owned,,
Eldest,01-02-22,"Paolini, Christopher ",Mercadillo,Physical,Myself,1.50,Sold,,
Eragorn,01-02-22,"Paolini, Christopher ",Mercadillo,Physical,Myself,1.50,Sold,,
My Hero Academia 28,12-30-21,"Horikoshi, Kohei",El Corte Inglés,Physical,Myself,6.95,Sold,,
My Hero Academia 27,12-28-21,"Horikoshi, Kohei",fnac,Physical,Myself,6.60,Sold,,
"Yo, Robot",12-28-21,"Asimov, Isaac",fnac,Physical,Myself,9.45,Sold,,
El Corazón de las Tinieblas,12-26-21,"Conrad, Joseph",Mercadillo,Physical,Myself,1.00,Owned,,
El Hobbit (Círculo Lectores),12-26-21,"Tolkien, J.R.R.",Mercadillo,Physical,Myself,1.50,Sold,05-19-23,
Moby Dick,12-26-21,"Melville, Herman",Mercadillo,Physical,Myself,1.00,Owned,,
The Legend of Zelda: Twilight Princess 03,12-26-21,"Himekawa, Akira",GAME,Physical,Myself,8.00,Owned,,
Paradise Lost,12-22-21,"Milton, John",Amazon,Digital,Myself,0.00,Owned,,
Dune,12-10-21,"Herbert, Frank",Librería Dorian,Physical,Myself,11.95,Sold,,
Trilogía de la Fundación,12-10-21,"Asimov, Isaac",Librería Dorian,Physical,Myself,14.96,Sold,,
El Fin de la Eternidad,12-08-21,"Asimov, Isaac",Librería Dorian,Physical,Myself,9.95,Sold,,
"Baoh, el Visitante",11-09-21,"Araki, Hirohiko",Librería Dorian,Physical,Myself,12.00,Owned,,
Vampiras,11-09-21,...Varios,Librería Dorian,Physical,Myself,16.30,Sold,,
Berserk (Maximum) 01,10-30-21,"Miura, Kentaro",fnac,Physical,Myself,14.25,Sold,,
Berserk (Maximum) 02,10-30-21,"Miura, Kentaro",El Corte Inglés,Physical,Gift,15.00,Sold,,
Fahrenheit 451,10-30-21,Ray Bradbury,fnac,Physical,Myself,10.40,Owned,,
JoJo Part 1 Phantom Blood 2,10-30-21,"Araki, Hirohiko",fnac,Physical,Myself,11.40,Sold,02-21-22,
JoJo Part 1 Phantom Blood 3,10-30-21,"Araki, Hirohiko",fnac,Physical,Myself,11.40,Sold,02-21-22,
JoJo Part 4 Diamond is Unbreakable 12 ,10-01-21,"Araki, Hirohiko",Comic Stores,Physical,Myself,12.00,Sold,03-29-22,
JoJo Part 5 Golden Wind 10,10-01-21,"Araki, Hirohiko",Comic Stores,Physical,Myself,12.00,Sold,03-29-22,
My Hero Academia 08,10-01-21,"Horikoshi, Kohei",Comic Stores,Physical,Myself,6.60,Sold,,
My Hero Academia 09,10-01-21,"Horikoshi, Kohei",Comic Stores,Physical,Myself,6.60,Sold,,
Dragon Ball Ultimate Edition 05,09-10-21,"Toriyama, Akira",Librería Dorian,Physical,Gift,8.95,Sold,,Bought with money from birthday.
Mort,09-10-21,"Pratchett, Terry",Librería Dorian,Physical,Gift,8.00,Owned,,Bought with money from birthday.
My Hero Academia 20 + Tarjetera,09-10-21,"Horikoshi, Kohei",Librería Dorian,Physical,Gift,6.95,Owned,12-21-25,Bought with money from birthday.
Shadow and Bone,09-08-21,"Bardugo, Leigh",fnac (Portugal),Physical,Myself,11.00,Owned,,
Dragon Ball Ultimate Edition 04,08-18-21,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
JoJo Part 1 Phantom Blood 1,08-18-21,"Araki, Hirohiko",fnac,Physical,Myself,12.00,Sold,02-21-22,
My Hero Academia 12,08-18-21,"Horikoshi, Kohei",fnac,Physical,Myself,6.95,Sold,,
Rebelión en la Granja,08-18-21,"Orwell, George",fnac,Physical,Myself,9.95,Owned,,
My Hero Academia 10,07-17-21,"Horikoshi, Kohei",fnac,Physical,Dad,6.60,Sold,,
My Hero Academia 11,07-17-21,"Horikoshi, Kohei",fnac,Physical,Dad,6.60,Sold,,
The Legend of Zelda: Twilight Princess 01,07-17-21,"Himekawa, Akira",fnac,Physical,Dad,7.60,Owned,,
Uzumaki,07-17-21,"Ito, Junji",fnac,Physical,Dad,23.75,Owned,,
Gryphoon 1,06-19-21,"Montes, Luis",CómicOn Málaga,Physical,Myself,12.95,Owned,,
JoJo Part 6 Stone Ocean 07,06-19-21,"Araki, Hirohiko",CómicOn Málaga,Physical,Myself,12.00,Sold,03-29-22,
The Legend of Zelda: Twilight Princess 02,06-19-21,"Himekawa, Akira",CómicOn Málaga,Physical,Myself,8.00,Owned,,
Dragon Ball Ultimate Edition 03,05-29-21,"Toriyama, Akira",Librería Dorian,Physical,Mom,8.95,Sold,,
Dragon Ball Ultimate Edition (Promo),04-24-21,"Toriyama, Akira",Librería Dorian,Physical,Myself,2.95,Sold,,
Dragon Ball Ultimate Edition 02,04-24-21,"Toriyama, Akira",Librería Dorian,Physical,Myself,8.95,Sold,,
The Black Veins,01-12-21,"Monet, Ashia",Amazon,Digital,Myself,4.67,Owned,,
1984,08-24-20,"Orwell, George",Amazon,Physical,Gift,8.50,Owned,,Birthday gift.
Console Wars,08-24-20,"Harris, Blake J.",Amazon,Physical,Gift,20.85,Owned,,Birthday gift.
El Señor de los Anillos I (Booklet),08-24-19,"Tolkien, J.R.R.",,Physical,Gift,10.95,Sold,,
The Legend of Zelda: Ocarina of Time,09-21-18,"Himekawa, Akira",,Physical,Myself,15.00,Sold,04-20-22,
My Hero Academia 05,01-01-17,"Horikoshi, Kohei",fnac,Physical,Mom,6.95,Sold,12-21-25,
My Hero Academia 06,01-01-17,"Horikoshi, Kohei",,Physical,Myself,6.95,Sold,12-21-25,
My Hero Academia 07,01-01-17,"Horikoshi, Kohei",,Physical,Myself,6.95,Sold,12-21-25,
Splatoon 1,01-01-17,"Hinodeya, Sankichi",,Physical,Myself,8.00,Sold,09-04-22,
The Legend of Zelda: Majora’s Mask,01-01-17,"Himekawa, Akira",,Physical,Myself,15.00,Sold,04-20-22,
My Hero Academia 01,01-01-17,"Horikoshi, Kohei",fnac,Physical,Mom,2.95,Sold,12-21-25,
My Hero Academia 02,01-01-17,"Horikoshi, Kohei",Gamepolis,Physical,Myself,6.95,Sold,12-21-25,
My Hero Academia 03,01-01-17,"Horikoshi, Kohei",Gamepolis,Physical,Myself,6.95,Sold,12-21-25,
My Hero Academia 04,01-01-17,"Horikoshi, Kohei",fnac,Physical,Mom,6.95,Sold,12-21-25
